drug_id,side_effect
CID100000444,Paraesthesia oral
CID100000444,Hypoaesthesia oral
CID100000444,Influenza like illness
CID100000444,Self-injurious ideation
CID100000444,Self-injurious ideation
CID100000444,Depressed level of consciousness
CID100000444,Sexual dysfunction
CID100000444,Lip dry
CID100000444,Rubber sensitivity
CID100000444,Sensation of heaviness
CID100000444,Tardive dyskinesia
CID100000444,Animal scratch
CID100000444,Animal scratch
CID100000444,Feelings of worthlessness
CID100000444,Tooth infection
CID100000444,Insomnia
CID100000444,Increased upper airway secretion
CID100000444,Paranoia
CID100000444,Sore mouth
CID100000444,Feeling hot
CID100000450,Abdominal pain
CID100000450,Amenorrhoea
CID100000450,Asthenia
CID100000450,Asthma
CID100000450,Breast disorder
CID100000450,Neoplasm malignant
CID100000450,Neoplasm malignant
CID100000450,Cardiovascular disorder
CID100000450,Cervical polyp
CID100000450,Cervical polyp
CID100000450,Chorea
CID100000450,Confusional state
CID100000450,Connective tissue disorder
CID100000450,Dermatitis contact
CID100000450,Diarrhoea
CID100000450,Dysgeusia
CID100000450,Dyspnoea
CID100000450,Eczema
CID100000450,Emotional disturbance NOS
CID100000450,Emotional disorder
CID100000450,Erythema multiforme
CID100000450,Erythema multiforme
CID100000450,Eye infection
CID100000450,Flushing
CID100000450,Gallbladder disorder
CID100000450,Headache
CID100000450,Haemangioma
CID100000450,Hepatitis
CID100000450,Hepatitis
CID100000450,Hyperaesthesia
CID100000450,Hyperhidrosis
CID100000450,Hypernatraemia
CID100000450,Hypoaesthesia
CID100000450,Hypocalcaemia
CID100000450,Immune system disorder
CID100000450,Incontinence
CID100000450,Influenza
CID100000450,Jaundice
CID100000450,Laryngitis
CID100000450,Vaginal discharge
CID100000450,Mediastinal disorder
CID100000450,Menorrhagia
CID100000450,Myocardial infarction
CID100000450,Acute coronary syndrome
CID100000450,Neuritis
CID100000450,Paraesthesia
CID100000450,Pharyngitis
CID100000450,Pruritus genital
CID100000450,Photosensitivity reaction
CID100000450,Swelling
CID100000450,Dizziness
CID100000450,Tooth disorder
CID100000450,Toothache
CID100000450,Toothache
CID100000450,Urethral disorder
CID100000450,Uterine leiomyoma
CID100000450,Vomiting
CID100000450,Mood swings
CID100000450,Mood swings
CID100000450,Affect lability
CID100000450,Oedema peripheral
CID100000450,Deep vein thrombosis
CID100000450,Application site reaction
CID100000450,Endometrial disorder
CID100000450,Accidental injury
CID100000450,Uterine enlargement
CID100000450,Uterine enlargement
CID100000450,Withdrawal bleed
CID100000450,Eyelid oedema
CID100000450,Decreased appetite
CID100000450,Rash erythematous
CID100000450,Eye irritation
CID100000450,Vascular pain
CID100000450,Vaginal ulceration
CID100000450,Arthritis aggravated
CID100000450,Nipple pain
CID100000450,Weight fluctuation
CID100000450,Hepatitis acute
CID100000450,Ectropion of cervix
CID100000450,Rash
CID100000450,Enlargement abdomen
CID100000450,Abdominal distension
CID100000450,Application site rash
CID100000450,Influenza like illness
CID100000450,Pelvic venous thrombosis
CID100000450,Vaginal mycosis
CID100000450,Bradyphrenia
CID100000450,Family stress
CID100000450,Drug interaction
CID100000450,Sweating increased
CID100000450,Acne
CID100000450,Infestation
CID100000450,Blood oestrogen increased
CID100000450,Breast cancer
CID100000450,Peripheral swelling
CID100000450,Breast discomfort
CID100000450,Abdominal bloating
CID100000450,Mood alteration NOS
CID100000450,Loss of libido
CID100000450,Abnormal vision
CID100000453,Hypersensitivity
CID100000453,Nausea
CID100000453,Pain
CID100000453,Convulsion
CID100000453,Thirst
CID100000453,Chills
CID100000453,Respiratory tract congestion
CID100000453,Bronchitis
CID100000453,Polyuria
CID100000453,Asthenia
CID100000453,Gastrooesophageal reflux disease
CID100000453,Gastrointestinal disorder
CID100000453,Headache
CID100000453,Hypotension
CID100000453,Lung disorder
CID100000453,Pain
CID100000453,Stomatitis
CID100000453,Stomatitis
CID100000453,Thirst
