drug_id,Percentage,Sideview
CID100000444,0.001,Dry eye
CID100000444,0.001,Extrasystoles
CID100000444,0.146,Vision blurred
CID100000444,0.0,Vision blurred
CID100000444,0.103,Vision blurred
CID100000444,0.02,Vision blurred
CID100000444,0.0,Rash maculo-papular
CID100000444,0.0,Rash maculo-papular
CID100000444,0.0,Suicidal ideation
CID100000444,0.0,Suicidal ideation
CID100000444,0.0,Neuropathy
CID100000444,0.0,Musculoskeletal chest pain
CID100000444,0.0,Coordination abnormal
CID100000444,0.016,Parkinsonism
CID100000444,0.0,Face oedema
CID100000444,0.0,Face oedema
CID100000444,0.02,Feeling jittery
CID100000444,0.03,Cough increased
CID100000444,0.05,Cough
CID100000444,0.0,Tardive dyskinesia
CID100000444,0.146,Hyperhidrosis
CID100000444,0.03,Ear and labyrinth disorders
CID100000444,0.001,Irritation gum
CID100000444,0.11,Insomnia
CID100000444,0.16,Insomnia
CID100000444,0.31,Insomnia
CID100000444,0.065,Insomnia
CID100000444,0.0,Neurological examination abnormal
CID100000444,0.001,Paranoia
CID100000444,0.0,Abnormal ejaculation
CID100000444,0.0,Ejaculation disorder
CID100000444,0.0,Vaginal haemorrhage
CID100000450,0.0277778,Abdominal distension
CID100000450,0.04,Gastrointestinal pain
CID100000450,0.05,Abdominal pain
CID100000450,0.04,Gastrointestinal pain
CID100000450,0.0813397,Abdominal pain
CID100000450,0.0813397,Abdominal pain
CID100000450,0.0,Anaphylactic shock
CID100000450,0.0172414,Anxiety
CID100000450,0.0176991,Arthralgia
CID100000450,0.0178571,Arthralgia
CID100000450,0.03,Musculoskeletal discomfort
CID100000450,0.0434783,Arthralgia
CID100000450,0.0561798,Arthralgia
CID100000450,0.0846154,Musculoskeletal discomfort
CID100000450,0.012987,Arthralgia
CID100000450,0.0526316,Arthralgia
CID100000450,0.0573248,Arthralgia
CID100000450,0.0229885,Asthenia
CID100000450,0.06,Back pain
CID100000450,0.0619469,Back pain
CID100000450,0.0786517,Back pain
CID100000450,0.0851064,Back pain
CID100000450,0.0851064,Back pain
CID100000450,0.012987,Back pain
CID100000450,0.012987,Back pain
CID100000450,0.0133333,Back pain
