drug_id,disease
CID100000698,Menopause
CID100000698,Osteoporosis postmenopausal
CID100000698,Osteoporosis postmenopausal
CID100000698,Primary ovarian failure
CID100000698,Ovarian failure
CID100000698,Atrophy
CID100000698,Atrophy
CID100000699,Climacteric
CID100000699,Menopause
CID100000699,Menopause
CID100000699,Menopause
CID100000699,Osteoporosis postmenopausal
CID100000699,Osteoporosis postmenopausal
CID100000699,Sweating
CID100000699,Hyperhidrosis
CID100000699,Uterine haemorrhage
CID100000699,Uterine haemorrhage
CID100000699,Vaginitis atrophic
CID100000699,Atrophic vulvovaginitis
CID100000699,Hypogonadism female
CID100000699,Hypogonadism female
CID100000699,Primary ovarian failure
CID100000699,Ovarian failure
CID100000699,Atrophy
CID100000699,Atrophy
CID100000699,Hot flush
CID100000699,Menopausal symptoms
CID100000699,Hot flush
CID100000699,Surgical menopause
CID100000699,Artificial menopause
CID100000699,Oestrogen deficiency
CID100000699,Oestrogen deficiency
CID100000699,Imbalance hormonal
CID100000699,Hormone level abnormal
CID100000700,Varices oesophageal
CID100000700,Varices oesophageal
CID100000723,Cardiac failure congestive
CID100000723,Cardiac failure congestive
CID100000723,Hypertension
CID100000723,Hypertension
CID100000727,Lice infestation
CID100000727,Lice infestation
CID100000727,Scabies
CID100000727,Acarodermatitis
CID100000727,Infestation NOS
CID100000727,Infestation
CID100000753,Type I hypersensitivity
CID100000753,Type I hypersensitivity
CID100000767,Acidosis
CID100000767,Acidosis
CID100000767,Lactic acidosis
CID100000767,Lactic acidosis
CID100000767,Arrhythmia
CID100000767,Arrhythmia
CID100000767,Ascites
CID100000767,Ascites
CID100000767,Dehydration
CID100000767,Dehydration
CID100000767,Diabetes mellitus
CID100000767,Diabetes mellitus
CID100000767,Diabetic ketoacidosis
CID100000767,Diabetic ketoacidosis
CID100000767,Diarrhoea
CID100000767,Diarrhoea
CID100000767,Cardiac arrest
CID100000767,Cardiac arrest
CID100000767,Cardiac failure congestive
CID100000767,Cardiac failure congestive
CID100000767,Hypokalaemia
CID100000767,Hypokalaemia
CID100000767,Nephropathy
CID100000767,Nephropathy
CID100000767,Hepatic cirrhosis
CID100000767,Hepatic cirrhosis
CID100000767,Familial periodic paralysis
CID100000767,Familial periodic paralysis
CID100000767,Paralysis
CID100000767,Shock
CID100000767,Shock
CID100000767,Essential hypertension
CID100000767,Essential hypertension
CID100000767,Dissociation
CID100000767,Dissociation
CID100000767,Digitalis intoxication (NOS)
CID100000767,Toxicity to various agents
CID100000767,Poisoning by salicylates
CID100000767,Toxicity to various agents
CID100000767,Metabolic acidosis
CID100000767,Metabolic acidosis
CID100000767,Metabolic alkalosis
CID100000767,Metabolic alkalosis
CID100000767,Discomfort
CID100000767,Discomfort
CID100000767,Hemolytic reaction
CID100000767,Haemolysis
CID100000767,Nephrotoxicity
CID100000767,Nephropathy toxic
CID100000767,Intoxication
CID100000767,Poisoning
CID100000767,Pain during injection
CID100000767,Injection site pain
CID100000767,Circulatory insufficiency
CID100000767,Cardiovascular insufficiency
CID100000767,Chemical phlebitis
CID100000767,Phlebitis
CID100000772,Angina unstable
CID100000772,Angina unstable
CID100000772,Angina pectoris
CID100000772,Myocardial infarction
